months,value
27.8 ,44.41 
27.8 ,43.70 
27.8 ,44.40 
27.9 ,45.11 
27.9 ,45.19 
27.9 ,45.27 
28.0 ,45.24 
28.0 ,44.76 
28.0 ,43.79 
28.1 ,42.93 
28.1 ,42.28 
28.1 ,42.77 
28.2 ,42.88 
28.2 ,42.84 
28.2 ,42.87 
28.3 ,41.75 
28.3 ,42.17 
28.3 ,41.92 
28.4 ,42.45 
28.4 ,42.68 
28.4 ,42.23 
28.5 ,41.55 
28.5 ,41.61 
28.5 ,41.11 
28.6 ,40.89 
28.6 ,41.38 
28.6 ,41.31 
28.6 ,40.99 
28.7 ,40.62 
28.7 ,41.12 
28.7 ,40.88 
28.8 ,41.35 
28.8 ,40.96 
28.8 ,40.97 
28.9 ,41.05 
28.9 ,41.65 
28.9 ,41.97 
29.0 ,42.04 
29.0 ,42.31 
29.0 ,41.89 
29.1 ,41.93 
29.1 ,42.22 
29.1 ,42.48 
29.2 ,41.92 
29.2 ,42.93 
29.2 ,43.20 
29.3 ,43.56 
29.3 ,43.60 
29.3 ,43.69 
29.4 ,43.33 
29.4 ,43.14 
29.4 ,43.68 
29.5 ,44.51 
29.5 ,43.87 
29.5 ,43.88 
29.6 ,44.18 
29.6 ,43.91 
29.6 ,44.11 
29.7 ,41.51 
29.7 ,43.12 
29.7 ,43.50 
29.8 ,43.51 
29.8 ,43.21 
29.8 ,42.43 
29.9 ,42.14 
29.9 ,42.55 
29.9 ,41.80 
30.0 ,41.97 
30.0 ,42.00 
30.0 ,41.99 
30.1 ,41.71 
30.1 ,41.83 
30.1 ,41.83 
30.2 ,41.28 
30.2 ,41.15 
30.2 ,41.34 
30.3 ,41.44 
30.3 ,41.47 
30.3 ,41.80 
30.4 ,41.75 
30.4 ,41.66 
30.4 ,41.95 
30.5 ,42.03 
30.5 ,41.94 
30.5 ,41.99 
30.6 ,41.77 
30.6 ,41.83 
30.6 ,41.61 
30.7 ,42.18 
30.7 ,42.18 
30.7 ,42.03 
30.8 ,42.30 
30.8 ,42.24 
30.8 ,42.69 
30.9 ,42.30 
30.9 ,42.39 
30.9 ,42.46 
30.9 ,42.23 
31.0 ,42.43 
31.0 ,42.27 
31.0 ,42.15 
31.1 ,42.32 
31.1 ,42.39 
31.1 ,42.46 
31.2 ,42.79 
31.2 ,43.57 
31.2 ,44.16 
31.3 ,43.92 
31.3 ,43.65 
31.3 ,43.68 
31.4 ,43.65 
31.4 ,43.61 
31.4 ,43.31 
31.5 ,42.87 
31.5 ,42.59 
31.5 ,40.98 
31.6 ,40.79 
31.6 ,40.63 
31.6 ,40.37 
31.7 ,40.63 
31.7 ,40.44 
31.7 ,39.20 
31.8 ,38.76 
31.8 ,38.75 
31.8 ,38.72 
